"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"GA",2021-01-22,"GA",2701819,5.694,2362643,5.887,66805,0,1800,68605,2.539,5.097,0,0,0,0,10725,0,0,10725,0.397,65394,50986,14408,2.42,95.32,5.609,3383,0.125,5.455,40,3343,15626,0.578,-13.174,3.937,58190,7204,50986,2.154,0.267,2.463,0.305,40,3343,0.001,0.124,8422,7204,0.312,0.267,0.356,0.305,0.069,-40.422,86.584,86.584,-1.493,-10.485,-6.874,85.417
"RI",2021-01-22,"RI",319914,0.674,270788,0.675,11765,0,200,11965,3.74,0.889,0,0,0,0,2925,0,0,2925,0.914,8967,8333,634,2.803,74.944,0.769,283,0.088,3.259,233,50,3014,0.942,-8.639,0.759,8650,317,8333,2.704,0.099,3.194,0.117,233,50,0.073,0.016,2697,317,0.843,0.099,0.996,0.117,2.768,-11.049,18.727,18.727,14.095,31.899,16.904,-31.25
"MD",2021-01-22,"MD",6779888,14.288,5695623,14.193,171915,0,4700,176615,2.605,13.12,0,0,0,0,24375,0,0,24375,0.36,154778,150252,4526,2.283,87.636,13.276,12013,0.177,8.415,11488,525,76857,1.134,-3.178,19.366,152515,2263,150252,2.25,0.033,2.678,0.04,11488,525,0.169,0.008,74594,2263,1.1,0.033,1.31,0.04,8.146,-3.926,30.207,30.207,-7.083,-8.175,-2.724,-77.083
"MC",2021-01-22,"MC",1511251,3.185,1237479,3.084,45185,0,1200,46385,3.069,3.446,0,0,0,0,6825,0,0,6825,0.452,42261,38089,4172,2.796,91.109,3.625,1504,0.1,3.69,1202,302,15260,1.01,-19.76,3.845,40175,2086,38089,2.658,0.138,3.247,0.169,1202,302,0.08,0.02,13174,2086,0.872,0.138,1.065,0.169,3.084,-23.558,16.928,16.928,13.815,8.195,14.916,-4.167
"NC",2021-01-22,"NC",661197,1.393,552935,1.378,20625,0,500,21125,3.195,1.569,0,0,0,0,2925,0,0,2925,0.442,16310,14696,1614,2.467,77.207,1.399,556,0.084,3.529,516,40,7005,1.059,-5.847,1.765,15503,807,14696,2.345,0.122,2.804,0.146,516,40,0.078,0.006,6198,807,0.937,0.122,1.121,0.146,3.443,-7.118,5.215,5.215,0.431,12.635,1.383,-15.278
"PV",2021-01-22,"PV",2220504,4.68,1898123,4.73,55980,0,1400,57380,2.584,4.263,0,0,0,0,8775,0,0,8775,0.395,41474,35386,6088,1.868,72.28,3.557,4610,0.208,12.505,2899,1711,19010,0.856,12.745,4.79,38430,3044,35386,1.731,0.137,2.025,0.16,2899,1711,0.131,0.077,15966,3044,0.719,0.137,0.841,0.16,8.159,2.821,128.357,128.357,-23.996,-8.91,-25.162,-4.861
"CE",2021-01-22,"CE",84202,0.177,66158,0.165,1980,0,200,2180,2.589,0.162,0,0,0,0,975,0,0,975,1.158,1641,895,746,1.949,75.275,0.141,96,0.114,6.214,49,47,700,0.831,10.41,0.176,1268,373,895,1.506,0.443,1.917,0.564,49,47,0.058,0.056,327,373,0.388,0.443,0.494,0.564,4.02,6.169,14.417,14.417,-20.339,-8.475,-34.89,207.639
"ML",2021-01-22,"ML",87076,0.184,66178,0.165,1980,0,200,2180,2.504,0.162,0,0,0,0,975,0,0,975,1.12,1500,1094,406,1.723,68.807,0.129,0,0,0,0,0,270,0.31,-32.836,0.068,1297,203,1094,1.49,0.233,1.96,0.307,0,0,0,0,67,203,0.077,0.233,0.101,0.307,0,-66.332,0,0,-29.891,-11.957,-35.581,61.806
"FFAA",2021-01-22,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-01-22,"ES",47450795,100,40129822,100,1310400,0,35700,1346100,2.837,100,0,0,0,0,206700,0,0,206700,0.436,1165825,1028913,136912,2.457,86.608,100,62524,0.132,5.667,43124,19400,396875,0.836,-7.08,100,1097369,68456,1028913,2.313,0.144,2.735,0.171,43124,19400,0.091,0.041,328419,68456,0.692,0.144,0.818,0.171,4.091,-13.13,39.547,39.547,0,0,0,0
