"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-01-08,"EX",1063987,2.242,911213,2.271,21725,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,4727,4727,0,0.444,21.758,1.701,1418,0.133,42.853,4727,0.444,42.853,1.701,4727,4727,0,0.444,0,0.444,0.519,0,0.519,1418,0,0.133,0,1418,4727,0,0.444,0,0.519,0,4727,42.853,42.853,NA,NA,-24.13,30.241,-24.232,NA
"GA",2021-01-08,"GA",2701819,5.694,2362643,5.887,37555,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,24750,24750,0,0.916,65.903,8.904,4485,0.166,22.132,24750,0.916,22.132,8.904,24750,24750,0,0.916,0,0.916,1.048,0,1.048,4485,0,0.166,0,4485,24750,0,0.916,0,1.048,0,24750,22.132,22.132,NA,NA,56.375,-11.345,56.314,NA
"RI",2021-01-08,"RI",319914,0.674,270788,0.675,5915,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,1674,1674,0,0.523,28.301,0.602,816,0.255,95.105,1674,0.523,95.105,0.602,1674,1674,0,0.523,0,0.523,0.618,0,0.618,816,0,0.255,0,816,1674,0,0.523,0,0.618,0,1674,95.105,95.105,NA,NA,-10.682,17.953,-10.751,NA
"MD",2021-01-08,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,0,0,0,0,98790,0,0,98790,1.457,14152,14152,0,0.209,14.325,5.091,2815,0.042,24.83,14152,0.209,24.83,5.091,14152,14152,0,0.209,0,0.209,0.248,0,0.248,2815,0,0.042,0,2815,14152,0,0.209,0,0.248,0,14152,24.83,24.83,NA,NA,-64.369,-7.055,-64.334,NA
"MC",2021-01-08,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,8958,8958,0,0.593,34.876,3.223,1671,0.111,22.931,8958,0.593,22.931,3.223,8958,8958,0,0.593,0,0.593,0.724,0,0.724,1671,0,0.111,0,1671,8958,0,0.593,0,0.724,0,8958,22.931,22.931,NA,NA,1.193,8.414,1.195,NA
"NC",2021-01-08,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,1.593,0,0,0,0,11850,0,0,11850,1.792,3703,3703,0,0.56,31.249,1.332,743,0.112,25.101,3703,0.56,25.101,1.332,3703,3703,0,0.56,0,0.56,0.67,0,0.67,743,0,0.112,0,743,3703,0,0.56,0,0.67,0,3703,25.101,25.101,NA,NA,-4.379,14.358,-4.437,NA
"PV",2021-01-08,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,4.248,0,0,0,0,31605,0,0,31605,1.423,9811,9811,0,0.442,31.043,3.529,2077,0.094,26.855,9811,0.442,26.855,3.529,9811,9811,0,0.442,0,0.442,0.517,0,0.517,2077,0,0.094,0,2077,9811,0,0.442,0,0.517,0,9811,26.855,26.855,NA,NA,-24.594,-9.231,-24.573,NA
"CE",2021-01-08,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.135,0,0,0,0,1005,0,0,1005,1.194,637,637,0,0.757,63.383,0.229,61,0.072,10.59,637,0.757,10.59,0.229,637,637,0,0.757,0,0.757,0.963,0,0.963,61,0,0.072,0,61,637,0,0.757,0,0.963,0,637,10.59,10.59,NA,NA,29.379,-23.729,29.181,NA
"ML",2021-01-08,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.135,0,0,0,0,1005,0,0,1005,1.154,673,673,0,0.773,66.965,0.242,247,0.284,57.981,673,0.773,57.981,0.242,673,673,0,0.773,0,0.773,1.017,0,1.017,247,0,0.284,0,247,673,0,0.773,0,1.017,0,673,57.981,57.981,NA,NA,31.522,-26.63,31.911,NA
"FFAA",2021-01-08,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-01-08,"ES",47450795,100,40129822,100,743925,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,277976,277976,0,0.586,37.366,100,70653,0.149,34.079,277976,0.586,34.079,100,277976,277976,0,0.586,0,0.586,0.693,0,0.693,70653,0,0.149,0,70653,277976,0,0.586,0,0.693,0,277976,34.079,34.079,NA,NA,0,0,0,NA
