"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-01-15,"EX",1063987,2.242,911213,2.271,32450,0,1000,33450,3.144,2.936,0,0,0,0,10725,0,1000,11725,1.102,22322,22322,0,2.098,66.732,2.903,4460,0.419,24.969,17595,1.654,20.903,3.584,22322,22322,0,2.098,0,2.098,2.45,0,2.45,4460,0,0.419,0,4460,17595,0,1.654,0,1.931,0,17595,24.969,20.903,NA,NA,29.483,30.955,29.426,NA
"GA",2021-01-15,"GA",2701819,5.694,2362643,5.887,56080,0,1800,57880,2.142,5.08,0,0,0,0,18525,0,1800,20325,0.752,49768,49768,0,1.842,85.985,6.472,5754,0.213,13.073,25018,0.926,5.343,5.096,49768,49768,0,1.842,0,1.842,2.106,0,2.106,5754,0,0.213,0,5754,25018,0,0.926,0,1.059,0,25018,13.073,5.343,NA,NA,13.664,-10.783,13.634,NA
"RI",2021-01-15,"RI",319914,0.674,270788,0.675,8840,0,200,9040,2.826,0.793,0,0,0,0,2925,0,200,3125,0.977,5953,5953,0,1.861,65.852,0.774,568,0.178,10.548,4279,1.338,-5.478,0.872,5953,5953,0,1.861,0,1.861,2.198,0,2.198,568,0,0.178,0,568,4279,0,1.338,0,1.58,0,4279,10.548,-5.478,NA,NA,14.837,17.656,14.806,NA
"MD",2021-01-15,"MD",6779888,14.288,5695623,14.193,147540,0,4700,152240,2.245,13.361,0,0,0,0,48750,0,4700,53450,0.788,77921,77921,0,1.149,51.183,10.133,14536,0.214,22.933,63769,0.941,22.52,12.988,77921,77921,0,1.149,0,1.149,1.368,0,1.368,14536,0,0.214,0,14536,63769,0,0.941,0,1.12,0,63769,22.933,22.52,NA,NA,-29.08,-6.488,-29.118,NA
"MC",2021-01-15,"MC",1511251,3.185,1237479,3.084,38360,0,1200,39560,2.618,3.472,0,0,0,0,12675,0,1200,13875,0.918,27001,27001,0,1.787,68.253,3.511,5262,0.348,24.205,18043,1.194,24.848,3.675,27001,27001,0,1.787,0,1.787,2.182,0,2.182,5262,0,0.348,0,5262,18043,0,1.194,0,1.458,0,18043,24.205,24.848,NA,NA,10.235,9.011,10.241,NA
"NC",2021-01-15,"NC",661197,1.393,552935,1.378,17700,0,500,18200,2.753,1.597,0,0,0,0,5850,0,500,6350,0.96,9305,9305,0,1.407,51.126,1.21,991,0.15,11.92,5602,0.847,4.632,1.141,9305,9305,0,1.407,0,1.407,1.683,0,1.683,991,0,0.15,0,991,5602,0,0.847,0,1.013,0,5602,11.92,4.632,NA,NA,-13.137,14.645,-13.202,NA
"PV",2021-01-15,"PV",2220504,4.68,1898123,4.73,47205,0,1400,48605,2.189,4.266,0,0,0,0,15600,0,1400,17000,0.766,22464,22464,0,1.012,46.217,2.921,2461,0.111,12.303,12653,0.57,3.13,2.577,22464,22464,0,1.012,0,1.012,1.183,0,1.183,2461,0,0.111,0,2461,12653,0,0.57,0,0.667,0,12653,12.303,3.13,NA,NA,-37.585,-8.846,-37.569,NA
"CE",2021-01-15,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,0.106,0,0,0,0,0,0,200,200,0.238,941,941,0,1.118,78.091,0.122,30,0.036,3.293,304,0.361,-9.254,0.062,941,941,0,1.118,0,1.118,1.422,0,1.422,30,0,0.036,0,30,304,0,0.361,0,0.46,0,304,3.293,-9.254,NA,NA,-31.073,-40.113,-31.03,NA
"ML",2021-01-15,"ML",87076,0.184,66178,0.165,1005,0,200,1205,1.384,0.106,0,0,0,0,0,0,200,200,0.23,1230,1230,0,1.413,102.075,0.16,132,0.152,12.022,557,0.64,-17.113,0.113,1230,1230,0,1.413,0,1.413,1.859,0,1.859,132,0,0.152,0,132,557,0,0.64,0,0.842,0,557,12.022,-17.113,NA,NA,-13.043,-42.391,-12.832,NA
"FFAA",2021-01-15,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-01-15,"ES",47450795,100,40129822,100,1103700,0,35700,1139400,2.401,100,0,0,0,0,359775,0,35700,395475,0.833,768950,768950,0,1.621,67.487,100,92764,0.195,13.719,490974,1.035,4.716,100,768950,768950,0,1.621,0,1.621,1.916,0,1.916,92764,0,0.195,0,92764,490974,0,1.035,0,1.223,0,490974,13.719,4.716,NA,NA,0,0,0,NA
