"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-02-12,"EX",1063987,2.242,911213,2.271,74375,4300,5400,84075,7.902,2.884,0,0,0,0,11700,4300,2900,18900,1.776,75603,14601,61002,7.106,89.923,3.12,2164,0.203,2.947,13651,1.283,-17.765,3.139,45102,14601,30501,4.239,2.867,1.372,4.95,3.347,1.602,1439,725,0.135,0.068,714,4812,8839,0.452,0.831,0.528,0.97,-4027,3.296,25.969,2.435,-30.837,39.161,28.635,41.394,36.006
"GA",2021-02-12,"GA",2701819,5.694,2362643,5.887,128815,11000,9800,149615,5.538,5.133,0,0,0,0,19890,11000,5300,36190,1.339,124733,14359,110374,4.617,83.369,5.148,6950,0.257,5.901,27786,1.028,31.482,6.389,69546,14359,55187,2.574,2.043,0.531,2.944,2.336,0.608,6845,105,0.253,0.004,6740,10319,17467,0.382,0.646,0.437,0.739,-7148,10.917,184.819,0.191,-0.246,-9.589,-9.852,-14.143,-3.083
"RI",2021-02-12,"RI",319914,0.674,270788,0.675,19955,1300,1400,22655,7.082,0.777,0,0,0,0,2340,1300,800,4440,1.388,19968,3238,16730,6.242,88.139,0.824,540,0.169,2.779,3346,1.046,-17.464,0.769,11603,3238,8365,3.627,2.615,1.012,4.285,3.089,1.196,304,236,0.095,0.074,68,1502,1844,0.47,0.576,0.555,0.681,-342,2.691,10.604,2.903,-31.602,22.255,15.282,20.981,24.051
"MD",2021-02-12,"MD",6779888,14.288,5695623,14.193,333375,27700,25400,386475,5.7,13.259,0,0,0,0,52650,27700,13800,94150,1.389,319144,40038,279106,4.707,82.578,13.171,11097,0.164,3.602,73141,1.079,-10.774,16.818,179591,40038,139553,2.649,2.058,0.591,3.153,2.45,0.703,114,10983,0.002,0.162,-10869,922,72219,0.014,1.065,0.016,1.268,-71297,0.064,-67.908,8.542,-8.699,-7.818,-7.202,-11.641,-2.372
"MC",2021-02-12,"MC",1511251,3.185,1237479,3.084,87305,6200,6600,100105,6.624,3.434,0,0,0,0,14040,6200,3600,23840,1.578,84111,19613,64498,5.566,84.023,3.471,2641,0.175,3.242,11752,0.778,-22.219,2.702,51862,19613,32249,3.432,2.134,1.298,4.191,2.606,1.585,113,2528,0.007,0.167,-2415,-109,11861,-0.007,0.785,-0.009,0.958,-11970,0.218,-105.892,8.506,-10.544,8.98,7.818,14.476,1.233
"NC",2021-02-12,"NC",661197,1.393,552935,1.378,39345,2700,2900,44945,6.798,1.542,0,0,0,0,5850,2700,1600,10150,1.535,39196,10124,29072,5.928,87.209,1.618,1180,0.178,3.104,7750,1.172,-3.87,1.782,24660,10124,14536,3.73,2.198,1.531,4.46,2.629,1.831,647,533,0.098,0.081,114,2230,5520,0.337,0.835,0.403,0.998,-3290,2.694,7.886,3.806,-7.923,16.152,10.696,24.416,4.269
"PV",2021-02-12,"PV",2220504,4.68,1898123,4.73,107460,9100,7900,124460,5.605,4.27,0,0,0,0,16380,9100,4300,29780,1.341,89883,17633,72250,4.048,72.218,3.71,5424,0.244,6.422,21524,0.969,11.726,4.949,53758,17633,36125,2.421,1.627,0.794,2.832,1.903,0.929,2196,3228,0.099,0.145,-1032,6511,15013,0.293,0.676,0.343,0.791,-8502,4.259,26.649,9.812,6.294,-20.726,-8.761,-19.246,-22.818
"CE",2021-02-12,"CE",84202,0.177,66158,0.165,4320,400,400,5120,6.081,0.176,0,0,0,0,2340,400,200,2940,3.492,2697,771,1926,3.203,52.676,0.111,138,0.164,5.393,541,0.643,18.901,0.124,1734,771,963,2.059,1.144,0.916,2.621,1.456,1.165,138,0,0.164,0,138,499,42,0.593,0.05,0.754,0.063,457,8.647,28.941,0,-38.235,-37.288,-0.565,-31.321,-45.731
"ML",2021-02-12,"ML",87076,0.184,66178,0.165,3150,400,400,3950,4.536,0.136,0,0,0,0,1170,400,200,1770,2.033,2647,481,2166,3.04,67.013,0.109,104,0.119,4.09,255,0.293,59.375,0.059,1564,481,1083,1.796,1.244,0.552,2.363,1.636,0.727,103,1,0.118,0.001,102,245,10,0.281,0.011,0.37,0.015,235,7.05,68.966,0.092,-33.333,-40.761,-26.087,-40.093,-40.987
"FFAA",2021-02-12,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-02-12,"ES",47450795,100,40129822,100,2528955,193800,192000,2914755,6.143,100,0,0,0,0,397800,193800,104400,696000,1.467,2423045,422075,2000970,5.106,83.13,100,102538,0.216,4.419,434885,0.916,-4.456,100,1422560,422075,1000485,2.998,2.108,0.89,3.545,2.493,1.052,45331,57207,0.096,0.121,-11876,117309,317576,0.247,0.669,0.292,0.791,-200267,3.291,19.692,6.065,-11.082,0,0,0,0
