"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-03-25,"EX",1063987,2.242,911213,2.271,160955,45400,17800,224155,21.067,2.635,0,0,0,0,17550,2200,0,19750,1.856,181812,40514,141298,17.088,81.11,2.658,7078,0.665,4.051,4007,3071,25070,2.356,39.34,2.962,111163,70649,40514,10.448,6.64,12.199,7.753,4007,3071,0.377,0.289,11890,13180,1.117,1.239,1.305,1.446,3.739,50.831,4.544,30.379,18.555,17.529,11.469,31.72
"GA",2021-03-25,"GA",2701819,5.694,2362643,5.887,369835,115500,41400,526735,19.496,6.191,0,0,0,0,56160,5700,0,61860,2.29,418902,145994,272908,15.504,79.528,6.125,13602,0.503,3.356,7486,6116,48826,1.807,8.507,5.769,282448,136454,145994,10.454,5.05,11.955,5.775,7486,6116,0.277,0.226,20622,28204,0.763,1.044,0.873,1.194,2.723,23.264,4.692,-0.226,7.569,8.728,11.533,0.179
"RI",2021-03-25,"RI",319914,0.674,270788,0.675,45695,13600,4800,64095,20.035,0.753,0,0,0,0,4680,700,0,5380,1.682,53810,16996,36814,16.82,83.954,0.787,1933,0.604,3.726,1876,57,5345,1.671,29.325,0.632,35403,18407,16996,11.066,5.754,13.074,6.798,1876,57,0.586,0.018,2042,3303,0.638,1.032,0.754,1.22,5.595,407.96,0.311,-11.471,16.766,11.721,18.063,14.144
"MD",2021-03-25,"MD",6779888,14.288,5695623,14.193,753405,289800,85200,1128405,16.643,13.262,0,0,0,0,85410,14300,0,99710,1.471,915887,341437,574450,13.509,81.167,13.391,27111,0.4,3.05,8661,18450,101284,1.494,18.354,11.967,628662,287225,341437,9.272,4.236,11.038,5.043,8661,18450,0.128,0.272,24311,76973,0.359,1.135,0.427,1.351,1.397,19.441,6.864,18.015,-6.278,-7.181,-1.078,-15.969
"MC",2021-03-25,"MC",1511251,3.185,1237479,3.084,179735,64500,19800,264035,17.471,3.103,0,0,0,0,17550,3200,0,20750,1.373,206638,65036,141602,13.673,78.262,3.021,1959,0.13,0.957,368,1591,21633,1.431,9.957,2.556,135837,70801,65036,8.988,4.685,10.977,5.721,368,1591,0.024,0.105,9430,12203,0.624,0.807,0.762,0.986,0.272,4.061,2.299,14.992,-5.149,-2.575,-4.108,-7.062
"NC",2021-03-25,"NC",661197,1.393,552935,1.378,86145,28200,9700,124045,18.761,1.458,0,0,0,0,9360,1400,0,10760,1.627,105316,37346,67970,15.928,84.901,1.54,2909,0.44,2.841,948,1961,14397,2.177,-1.734,1.701,71331,33985,37346,10.788,5.14,12.9,6.146,948,1961,0.143,0.297,9731,4666,1.472,0.706,1.76,0.844,1.347,-14.961,6.124,45.449,10.553,4.666,15.097,1.964
"PV",2021-03-25,"PV",2220504,4.68,1898123,4.73,275940,94900,30800,401640,18.088,4.72,0,0,0,0,37440,4700,0,42140,1.898,302858,136014,166844,13.639,75.405,4.428,13133,0.591,4.533,8114,5019,48108,2.167,17.511,5.684,219436,83422,136014,9.882,3.757,11.561,4.395,8114,5019,0.365,0.226,34509,13599,1.554,0.612,1.818,0.716,3.84,11.546,6.402,35.963,-5.385,0.855,5.43,-25.471
"CE",2021-03-25,"CE",84202,0.177,66158,0.165,6660,3700,900,11260,13.373,0.132,0,0,0,0,1170,200,0,1370,1.627,10121,3709,6412,12.02,89.885,0.148,664,0.789,7.021,24,640,697,0.828,289.385,0.082,6915,3206,3709,8.212,3.808,10.452,4.846,24,640,0.029,0.76,32,665,0.038,0.79,0.048,1.005,0.348,-78.082,24.942,1915.152,-16.384,-25.424,-12.387,-24.459
"ML",2021-03-25,"ML",87076,0.184,66178,0.165,6660,3700,800,11160,12.816,0.131,0,0,0,0,2340,200,0,2540,2.917,9477,4659,4818,10.884,84.919,0.139,403,0.463,4.441,381,22,1562,1.794,12.455,0.185,7068,2409,4659,8.117,2.767,10.68,3.64,381,22,0.438,0.025,1532,30,1.759,0.034,2.315,0.045,5.698,11.58,0.922,87.5,-24.457,-28.804,-13.4,-45.11
"FFAA",2021-03-25,"FFAA",NA,NA,NA,NA,19500,33100,0,52600,NA,0.618,0,0,0,0,19500,33100,0,52600,NA,15777,6461,9316,NA,29.994,0.231,0,NA,0,0,0,15777,NA,0,1.864,11119,4658,6461,NA,NA,NA,NA,0,0,NA,NA,11119,4658,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ES",2021-03-25,"ES",47450795,100,40129822,100,5797545,2060500,650400,8508445,17.931,100,0,0,0,0,691080,133100,0,824180,1.737,6839736,2055332,4784404,14.414,80.388,100,219643,0.463,3.318,103674,115969,846373,1.784,10.926,100,4447534,2392202,2055332,9.373,5.041,11.083,5.961,103674,115969,0.218,0.244,340984,505389,0.719,1.065,0.85,1.259,2.387,17.02,5.095,7.161,0,0,0,0
