"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-03-13,"EX",1063987,2.242,911213,2.271,129365,38100,10900,178365,16.764,2.68,0,0,0,0,14040,11900,0,25940,2.438,145896,43169,102727,13.712,81.796,2.677,1359,0.128,0.94,631,728,19168,1.802,-0.92,2.134,94532,51364,43168,8.885,4.828,10.374,5.637,631,728,0.059,0.068,11732,7436,1.103,0.699,1.288,0.816,0.672,-1.296,1.438,-0.322,19.402,19.536,10.072,41.418
"GA",2021-03-13,"GA",2701819,5.694,2362643,5.887,268045,96900,19900,384845,14.244,5.783,0,0,0,0,45630,30200,0,75830,2.807,320171,151947,168224,11.85,83.195,5.875,9082,0.336,2.919,6568,2514,59448,2.2,7.162,6.617,236059,84112,151947,8.737,3.113,9.991,3.56,6568,2514,0.243,0.093,46129,13318,1.707,0.493,1.952,0.564,2.862,8.695,3.081,2.163,3.179,1.563,8.238,-8.817
"RI",2021-03-13,"RI",319914,0.674,270788,0.675,36335,11400,2700,50435,15.765,0.758,0,0,0,0,4680,3600,0,8280,2.588,43151,17512,25639,13.488,85.558,0.792,1126,0.352,2.679,945,181,9347,2.922,7.326,1.04,30332,12819,17513,9.481,4.007,11.201,4.734,945,181,0.295,0.057,7077,2270,2.212,0.71,2.613,0.838,3.216,10.578,1.432,-1.689,17.507,12.463,17.455,17.37
"MD",2021-03-13,"MD",6779888,14.288,5695623,14.193,598965,243100,51300,893365,13.177,13.424,0,0,0,0,69030,75900,0,144930,2.138,755506,371179,384327,11.143,84.569,13.862,11900,0.176,1.6,10254,1646,141873,2.093,-2.067,15.792,563342,192164,371178,8.309,2.834,9.891,3.374,10254,1646,0.151,0.024,128074,13798,1.889,0.204,2.249,0.242,1.854,-3.169,0.864,9.491,-2.982,-6.047,2.936,-16.989
"MC",2021-03-13,"MC",1511251,3.185,1237479,3.084,148145,54100,13400,215645,14.269,3.24,0,0,0,0,14040,16900,0,30940,2.047,168422,57143,111279,11.145,78.102,3.09,4356,0.288,2.655,3374,982,27893,1.846,3.823,3.105,112782,55640,57142,7.463,3.682,9.114,4.496,3374,982,0.223,0.065,23482,4411,1.554,0.292,1.898,0.356,3.084,0.449,1.797,26.426,-2.983,1.727,-7.545,7.85
"NC",2021-03-13,"NC",661197,1.393,552935,1.378,69765,23600,5900,99265,15.013,1.492,0,0,0,0,7020,7400,0,14420,2.181,78626,27165,51461,11.891,79.208,1.443,3177,0.48,4.211,2277,900,8532,1.29,18.5,0.95,52896,25731,27165,8,3.892,9.566,4.654,2278,900,0.345,0.136,6662,1871,1.008,0.283,1.205,0.338,4.5,10.316,3.625,61.154,3.589,7.107,-0.892,14.001
"PV",2021-03-13,"PV",2220504,4.68,1898123,4.73,208080,79600,16000,303680,13.676,4.563,0,0,0,0,30420,24800,0,55220,2.487,211936,91768,120168,9.544,69.789,3.889,11259,0.507,5.611,9050,2209,49491,2.229,10.664,5.509,151852,60084,91768,6.839,2.706,8,3.165,9050,2209,0.408,0.099,42491,7000,1.914,0.315,2.239,0.369,6.337,8.122,3.817,29.08,-16.902,-2.5,-15.275,-20.738
"CE",2021-03-13,"CE",84202,0.177,66158,0.165,5490,3100,600,9190,10.914,0.138,0,0,0,0,0,900,0,900,1.069,9091,4025,5066,10.797,98.923,0.167,93,0.11,1.034,93,0,1810,2.15,-4.435,0.201,6558,2533,4025,7.788,3.008,9.913,3.829,93,0,0.11,0,935,876,1.11,1.04,1.413,1.324,1.439,-0.32,0,-8.368,-5.65,-22.034,-3.518,-11.892
"ML",2021-03-13,"ML",87076,0.184,66178,0.165,4320,3100,600,8020,9.21,0.121,0,0,0,0,0,900,0,900,1.034,7243,2932,4311,8.318,90.312,0.133,65,0.075,0.906,1,64,1653,1.898,-6.873,0.184,5088,2156,2932,5.843,2.476,7.688,3.258,2,64,0.002,0.073,899,755,1.032,0.867,1.358,1.141,0.039,-6.257,3.059,-7.475,-27.717,-34.239,-27.614,-27.475
"FFAA",2021-03-13,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-03-13,"ES",47450795,100,40129822,100,4567095,1700500,387600,6655195,14.025,100,0,0,0,0,540540,530700,0,1071240,2.258,5450143,2210035,3240108,11.486,81.893,100,97376,0.205,1.819,60566,36810,898361,1.893,1.949,100,3830089,1620054,2210035,8.072,3.414,9.544,4.037,60566,36810,0.128,0.078,634460,263901,1.337,0.556,1.581,0.658,1.607,-0.932,2.325,9.612,0,0,0,0
