"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-02-26,"EX",1063987,2.242,911213,2.271,102455,18100,5400,125955,11.838,2.794,0,0,0,0,14040,8800,0,22840,2.147,107200,68592,77216,10.075,85.11,2.973,4438,4341,194,0.417,4.319,18133,16010,4246,1.704,5.369,2.708,68592,29984,38608,6.447,3.629,2.818,7.528,4.237,3.291,4341,97,0.408,0.009,16010,2123,1.505,0.2,1.757,0.233,6.756,12.945,0.252,-30.026,32.605,24.621,29.536,38.459
"GA",2021-02-26,"GA",2701819,5.694,2362643,5.887,179125,46100,9800,235025,8.699,5.213,0,0,0,0,25740,22300,0,48040,1.778,200432,141743,117378,7.418,85.281,5.559,10463,10128,670,0.387,5.508,50539,49461,2156,1.871,7.245,7.547,141743,83054,58689,5.246,2.172,3.074,5.999,2.484,3.515,10128,335,0.375,0.012,49461,1078,1.831,0.04,2.093,0.046,7.695,6.823,0.574,30.984,-2.371,-8.447,5.405,-17.131
"RI",2021-02-26,"RI",319914,0.674,270788,0.675,28145,5400,1400,34945,10.923,0.775,0,0,0,0,4680,2600,0,7280,2.276,26699,17494,18410,8.346,76.403,0.74,782,781,2,0.244,3.017,3350,2993,714,1.047,5.745,0.5,17494,8289,9205,5.468,2.877,2.591,6.46,3.399,3.061,781,1,0.244,0,2993,357,0.936,0.112,1.105,0.132,4.673,7.817,0.011,-8.929,9.792,14.985,9.865,9.767
"MD",2021-02-26,"MD",6779888,14.288,5695623,14.193,464415,115600,25400,605415,8.93,13.427,0,0,0,0,65520,55800,0,121320,1.789,417627,245846,343562,6.16,68.982,11.583,25261,24839,844,0.373,6.438,44852,39546,10612,0.662,60.289,6.698,245846,74065,171781,3.626,2.534,1.092,4.316,3.016,1.3,24839,422,0.366,0.006,39546,5306,0.583,0.078,0.694,0.093,11.239,93.939,0.246,-30.101,-18.932,-6.026,-27.145,-3.319
"MC",2021-02-26,"MC",1511251,3.185,1237479,3.084,121235,25700,6600,153535,10.159,3.405,0,0,0,0,17550,12400,0,29950,1.982,117831,67916,99830,7.797,76.745,3.268,3882,3323,1118,0.257,3.407,18050,11294,13512,1.194,4.535,2.696,67916,18001,49915,4.494,3.303,1.191,5.488,4.034,1.455,3323,559,0.22,0.037,11294,6756,0.747,0.447,0.913,0.546,5.145,13.702,1.133,-7.881,2.606,6.907,-9.705,26.021
"NC",2021-02-26,"NC",661197,1.393,552935,1.378,55725,11200,2900,69825,10.56,1.549,0,0,0,0,9360,5400,0,14760,2.232,57034,35760,42548,8.626,81.681,1.582,1607,1175,864,0.243,2.899,11670,8841,5658,1.765,1.179,1.743,35760,14486,21274,5.408,3.217,2.191,6.467,3.847,2.62,1175,432,0.178,0.065,8841,2829,1.337,0.428,1.599,0.512,3.397,5.35,2.073,-9.962,13.568,11.199,8.66,22.739
"PV",2021-02-26,"PV",2220504,4.68,1898123,4.73,148410,37900,7900,194210,8.746,4.307,0,0,0,0,21060,18300,0,39360,1.773,122558,76401,92314,5.519,63.106,3.399,2811,2321,980,0.127,2.347,15167,12929,4476,0.683,-3.123,2.265,76401,30244,46157,3.441,2.079,1.362,4.025,2.432,1.593,2321,490,0.105,0.022,12929,2238,0.582,0.101,0.681,0.118,3.133,-5.15,1.073,10.519,-27.372,-7.97,-30.862,-20.679
"CE",2021-02-26,"CE",84202,0.177,66158,0.165,4320,1500,400,6220,7.387,0.138,0,0,0,0,0,700,0,700,0.831,6272,5136,2272,7.449,100.836,0.174,316,270,92,0.375,5.306,1577,1527,100,1.873,3.614,0.236,5136,4000,1136,6.1,1.349,4.75,7.763,1.717,6.046,270,46,0.321,0.055,1527,50,1.813,0.059,2.308,0.076,5.549,5.238,4.22,-29.577,-1.695,-22.034,22.564,-48.531
"ML",2021-02-26,"ML",87076,0.184,66178,0.165,3150,1500,400,5050,5.8,0.112,0,0,0,0,0,700,0,700,0.804,4710,3443,2534,5.409,93.267,0.131,153,152,2,0.176,3.357,985,973,24,1.131,-14.571,0.147,3443,2176,1267,3.954,1.455,2.499,5.203,1.915,3.288,152,1,0.175,0.001,973,12,1.117,0.014,1.47,0.018,4.619,-14.799,0.079,9.091,-28.804,-39.13,-20.555,-44.487
"FFAA",2021-02-26,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-02-26,"ES",47450795,100,40129822,100,3508245,808600,192000,4508845,9.502,100,0,0,0,0,496080,390600,0,886680,1.869,3605635,2361852,2487566,7.599,79.968,100,169477,157476,24002,0.357,4.932,669624,596867,145514,1.411,2.482,100,2361852,1118069,1243783,4.977,2.621,2.356,5.886,3.099,2.786,157476,12001,0.332,0.025,596867,72757,1.258,0.153,1.487,0.181,7.144,5.42,0.974,-16.588,0,0,0,0
