"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-02-20,"EX",1063987,2.242,911213,2.271,88415,9300,5400,103115,9.691,NA,0,0,0,0,14040,5000,0,19040,1.789,90325,16419,73906,8.489,NA,3.023,1258,0.118,1.412,13910,1.307,3.313,2.684,53372,16419,36953,NA,NA,1.543,NA,NA,1.802,790,468,0.074,0.044,322,7663,6247,0.72,0.587,0.841,0.686,1416,1.502,2.447,1.283,4.395,34.835,NA,NA,NA
"GA",2021-02-20,"GA",2701819,5.694,2362643,5.887,153385,23800,9800,186985,6.921,NA,0,0,0,0,24570,12800,0,37370,1.383,154310,38921,115389,5.711,NA,5.165,4417,0.163,2.947,26315,0.974,4.591,5.078,96615,38920,57695,NA,NA,1.441,NA,NA,1.647,4333,84,0.16,0.003,4249,23859,2456,0.883,0.091,1.01,0.104,21403,4.695,4.939,0.146,1.32,-9.29,NA,NA,NA
"RI",2021-02-20,"RI",319914,0.674,270788,0.675,23465,2800,1400,27665,8.648,NA,0,0,0,0,3510,1500,0,5010,1.566,23629,5757,17872,7.386,NA,0.791,280,0.088,1.199,3285,1.027,-2.839,0.634,14693,5757,8936,NA,NA,1.8,NA,NA,2.126,192,88,0.06,0.028,104,2742,543,0.857,0.17,1.013,0.201,2199,1.324,-5.383,0.995,12.422,17.359,NA,NA,NA
"MD",2021-02-20,"MD",6779888,14.288,5695623,14.193,398895,59800,25400,484095,7.14,NA,0,0,0,0,65520,32100,0,97620,1.44,374796,40365,334431,5.528,NA,12.546,2021,0.03,0.542,49256,0.727,-8.158,9.505,207581,40365,167216,NA,NA,0.595,NA,NA,0.709,1281,741,0.019,0.011,540,25975,23282,0.383,0.343,0.456,0.409,2693,0.621,-2.748,0.445,-13.521,-12.192,NA,NA,NA
"MC",2021-02-20,"MC",1511251,3.185,1237479,3.084,103685,13300,6600,123585,8.178,NA,0,0,0,0,16380,7100,0,23480,1.554,101993,14017,87976,6.749,NA,3.414,2212,0.146,2.217,15793,1.045,0.785,3.048,58005,14017,43988,NA,NA,0.928,NA,NA,1.133,1383,829,0.092,0.055,554,5789,10004,0.383,0.662,0.468,0.808,-4215,2.443,21.618,1.921,-8.304,7.19,NA,NA,NA
"NC",2021-02-20,"NC",661197,1.393,552935,1.378,46365,5800,2900,55065,8.328,NA,0,0,0,0,7020,3100,0,10120,1.531,46095,8608,37487,6.971,NA,1.543,731,0.111,1.611,6533,0.988,5.918,1.261,27351,8607,18744,NA,NA,1.302,NA,NA,1.557,432,299,0.065,0.045,133,2594,3939,0.392,0.596,0.469,0.712,-1345,1.605,14.83,1.621,0.767,10.768,NA,NA,NA
"PV",2021-02-20,"PV",2220504,4.68,1898123,4.73,127350,19600,7900,154850,6.974,NA,0,0,0,0,19890,10500,0,30390,1.369,109154,20890,88264,4.916,NA,3.654,1763,0.079,1.642,16636,0.749,-4.981,3.21,65022,20890,44132,NA,NA,0.941,NA,NA,1.101,1550,213,0.07,0.01,1337,10415,6221,0.469,0.28,0.549,0.328,4194,2.442,7.216,0.485,-20.182,-21.923,NA,NA,NA
"CE",2021-02-20,"CE",84202,0.177,66158,0.165,4320,800,400,5520,6.556,NA,0,0,0,0,0,400,0,400,0.475,4866,2694,2172,5.779,NA,0.163,171,0.203,3.642,1894,2.249,-5.205,0.365,3780,2694,1086,NA,NA,3.199,NA,NA,4.072,171,0,0.203,0,171,1771,123,2.103,0.146,2.677,0.186,1648,4.738,-5.547,0,0,-7.91,NA,NA,NA
"ML",2021-02-20,"ML",87076,0.184,66178,0.165,3150,800,400,4350,4.996,NA,0,0,0,0,0,400,0,400,0.459,3848,1333,2515,4.419,NA,0.129,123,0.141,3.302,1143,1.313,6.03,0.221,2591,1334,1257,NA,NA,1.532,NA,NA,2.016,121,2,0.139,0.002,119,969,174,1.113,0.2,1.464,0.263,795,4.899,6.954,0.159,1.163,-29.891,NA,NA,NA
"FFAA",2021-02-20,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-02-20,"ES",47450795,100,40129822,100,3012165,418000,192000,3622165,7.634,NA,0,0,0,0,483210,224200,0,707410,1.491,2987458,628049,2359409,6.296,NA,100,51447,0.108,1.752,518225,1.092,1.025,100,1807753,628049,1179704,NA,NA,1.324,NA,NA,1.565,42768,8678,0.09,0.018,34090,362207,156017,0.763,0.329,0.903,0.389,206190,2.423,5.777,0.741,-8.516,0,NA,NA,NA
