"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-03-15,"EX",1063987,2.242,911213,2.271,129365,38100,10900,178365,16.764,2.68,0,0,0,0,14040,11900,0,25940,2.438,148614,42976,105638,13.968,83.32,2.633,1359,0.128,0.923,18812,1.768,-0.937,2.017,95795,42976,52819,9.003,4.964,4.039,10.513,5.797,4.716,631,728,0.059,0.068,-97,11425,7387,1.074,0.694,1.254,0.811,4038,0.663,-1.33,1.398,-0.324,17.44,19.536,8.118,39.087
"GA",2021-03-15,"GA",2701819,5.694,2362643,5.887,268045,96900,19900,384845,14.244,5.783,0,0,0,0,45630,30200,0,75830,2.807,338334,160054,178280,12.522,87.914,5.994,9082,0.336,2.758,67392,2.494,6.265,7.225,249194,160054,89140,9.223,3.299,5.924,10.547,3.773,6.774,6568,2514,0.243,0.093,4054,53509,13883,1.98,0.514,2.265,0.588,39626,2.707,7.407,2.902,2.073,5.269,1.563,10.76,-7.565
"RI",2021-03-15,"RI",319914,0.674,270788,0.675,36335,11400,2700,50435,15.765,0.758,0,0,0,0,4680,3600,0,8280,2.588,45403,19039,26364,14.192,90.023,0.804,1126,0.352,2.543,10623,3.321,6.39,1.139,32221,19039,13182,10.072,4.12,5.951,11.899,4.868,7.031,945,181,0.295,0.057,764,8429,2194,2.635,0.686,3.113,0.81,6235,3.021,8.733,1.392,-1.747,19.288,12.463,20.956,15.438
"MD",2021-03-15,"MD",6779888,14.288,5695623,14.193,598965,243100,51300,893365,13.177,13.424,0,0,0,0,69030,75900,0,144930,2.138,779306,388396,390910,11.494,87.233,13.806,11900,0.176,1.551,135882,2.004,-2.157,14.569,583851,388396,195455,8.612,2.883,5.729,10.251,3.432,6.819,10254,1646,0.151,0.024,8608,119692,16190,1.765,0.239,2.101,0.284,103502,1.788,-3.384,0.849,7.977,-3.373,-6.047,3.423,-19.221
"MC",2021-03-15,"MC",1511251,3.185,1237479,3.084,148145,54100,13400,215645,14.269,3.24,0,0,0,0,14040,16900,0,30940,2.047,177134,61928,115206,11.721,82.141,3.138,4356,0.288,2.521,29946,1.982,3.551,3.211,119531,61928,57603,7.909,3.812,4.098,9.659,4.655,5.004,3374,982,0.223,0.065,2392,23692,6254,1.568,0.414,1.915,0.505,17438,2.905,0.445,1.734,17.292,-1.476,1.727,-5.02,6.809
"NC",2021-03-15,"NC",661197,1.393,552935,1.378,69765,23600,5900,99265,15.013,1.492,0,0,0,0,7020,7400,0,14420,2.181,84981,29921,55060,12.853,85.61,1.505,3177,0.48,3.884,11197,1.693,13.502,1.2,57451,29921,27530,8.689,4.164,4.525,10.39,4.979,5.411,2278,900,0.345,0.136,1378,7908,3289,1.196,0.497,1.43,0.595,4619,4.129,8.552,3.38,27.53,8.04,7.107,4.347,16.671
"PV",2021-03-15,"PV",2220504,4.68,1898123,4.73,208080,79600,16000,303680,13.676,4.563,0,0,0,0,30420,24800,0,55220,2.487,234455,105451,129004,10.559,77.205,4.153,11259,0.507,5.044,59031,2.658,8.789,6.329,169953,105451,64502,7.654,2.905,4.749,8.954,3.398,5.556,9050,2209,0.408,0.099,6841,48877,10154,2.201,0.457,2.575,0.535,38723,5.625,6.987,3.546,18.386,-11.261,-2.5,-8.082,-18.605
"CE",2021-03-15,"CE",84202,0.177,66158,0.165,5490,3100,600,9190,10.914,0.138,0,0,0,0,0,900,0,900,1.069,9278,4212,5066,11.019,100.958,0.164,93,0.11,1.013,1644,1.952,-4.861,0.176,6745,4212,2533,8.01,3.008,5.002,10.195,3.829,6.367,93,0,0.11,0,93,929,715,1.103,0.849,1.404,1.081,214,1.398,-0.322,0,-10.063,-7.345,-22.034,-3.807,-15.719
"ML",2021-03-15,"ML",87076,0.184,66178,0.165,4320,3100,600,8020,9.21,0.121,0,0,0,0,0,900,0,900,1.034,7374,2808,4566,8.468,91.945,0.131,65,0.075,0.889,1410,1.619,-7.963,0.151,5091,2808,2283,5.847,2.622,3.225,7.693,3.45,4.243,2,64,0.002,0.073,-62,779,631,0.895,0.725,1.177,0.953,148,0.039,-7.151,2.884,-8.815,-28.804,-34.239,-29.783,-26.534
"FFAA",2021-03-15,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-03-15,"ES",47450795,100,40129822,100,4567095,1700500,387600,6655195,14.025,100,0,0,0,0,540540,530700,0,1071240,2.258,5644895,2257547,3387348,11.896,84.819,100,97376,0.205,1.755,932704,1.966,1.876,100,3951221,2257547,1693674,8.327,3.569,4.758,9.846,4.22,5.626,60566,36810,0.128,0.078,23756,622518,310186,1.312,0.654,1.551,0.773,312332,1.557,-0.95,2.222,8.062,0,0,0,0
