"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"EX",2021-03-09,"EX",1063987,2.242,911213,2.271,115325,26200,10900,152425,14.326,2.73,0,0,0,0,12870,8100,5500,26470,2.488,131804,85751,92106,12.388,86.471,2.718,2002,1381,1242,0.188,1.542,19575,13102,12946,1.84,4.144,2.083,85751,39698,46053,8.059,4.328,3.731,9.411,5.054,4.357,1381,621,0.13,0.058,13102,6473,1.231,0.608,1.438,0.71,1.637,3.524,1.367,5.423,21.231,21.766,11.281,45.43
"GA",2021-03-09,"GA",2701819,5.694,2362643,5.887,222415,66700,19900,309015,11.437,5.534,0,0,0,0,43290,20600,10100,73990,2.739,278771,202482,152578,10.318,90.213,5.749,7829,6797,2064,0.29,2.89,54865,37495,34740,2.031,3.233,5.837,202482,126193,76289,7.494,2.824,4.671,8.57,3.229,5.341,6797,1032,0.252,0.038,37495,17370,1.388,0.643,1.587,0.735,3.473,1.941,1.371,6.135,0.966,-2.81,3.48,-5.108
"RI",2021-03-09,"RI",319914,0.674,270788,0.675,31655,7800,2700,42155,13.177,0.755,0,0,0,0,3510,2400,1300,7210,2.254,36734,25414,22640,11.482,87.14,0.758,1954,1622,664,0.611,5.618,7756,5716,4080,2.424,4.896,0.825,25414,14094,11320,7.944,3.538,4.406,9.385,4.18,5.205,1622,332,0.507,0.104,5716,2040,1.787,0.638,2.111,0.753,6.817,1.871,3.021,14.414,12.463,12.018,9.693,18.884
"MD",2021-03-09,"MD",6779888,14.288,5695623,14.193,529935,167200,51300,748435,11.039,13.403,0,0,0,0,65520,51600,25900,143020,2.109,668040,487483,361114,9.853,89.258,13.778,24616,23324,2584,0.363,3.826,158342,153451,9782,2.335,-7.307,16.846,487483,306926,180557,7.19,2.663,4.527,8.559,3.17,5.389,23324,1292,0.344,0.019,153451,4891,2.263,0.072,2.694,0.086,5.025,-7.984,0.721,20.468,-3.569,-6.194,-0.718,-10.517
"MC",2021-03-09,"MC",1511251,3.185,1237479,3.084,134105,37200,13400,184705,12.222,3.308,0,0,0,0,12870,11500,6800,31170,2.063,149364,97917,102894,9.883,80.866,3.081,2176,2078,196,0.144,1.478,24830,23939,1782,1.643,4.223,2.642,97917,46470,51447,6.479,3.404,3.075,7.913,4.157,3.755,2078,98,0.138,0.006,23939,891,1.584,0.059,1.934,0.072,2.168,5.421,0.191,-20.161,-3.265,3.862,-10.536,14.382
"NC",2021-03-09,"NC",661197,1.393,552935,1.378,62745,16200,5900,84845,12.832,1.519,0,0,0,0,7020,5000,3000,15020,2.272,74287,49641,49292,11.235,87.556,1.532,503,98,810,0.076,0.682,12217,9563,5308,1.848,-6.648,1.3,49641,24995,24646,7.508,3.727,3.78,8.978,4.457,4.52,98,405,0.015,0.061,9563,2654,1.446,0.401,1.729,0.48,0.198,-9.484,1.671,5.234,9.978,9.045,3.673,25.235
"PV",2021-03-09,"PV",2220504,4.68,1898123,4.73,177660,54800,16000,248460,11.189,4.45,0,0,0,0,29250,16900,8100,54250,2.443,181629,127173,108912,8.18,73.102,3.746,6205,6097,216,0.279,3.537,50078,43674,12808,2.255,4.777,5.328,127173,72717,54456,5.727,2.452,3.275,6.7,2.869,3.831,6097,108,0.275,0.005,43674,6404,1.967,0.288,2.301,0.337,5.036,6.681,0.199,-6.593,-19.957,-4.915,-20.92,-17.608
"CE",2021-03-09,"CE",84202,0.177,66158,0.165,5490,2200,600,8290,9.845,0.148,0,0,0,0,1170,700,200,2070,2.458,8177,5817,4720,9.711,98.637,0.169,543,1,1084,0.645,7.113,1843,678,2330,2.189,35.415,0.196,5817,3457,2360,6.908,2.803,4.106,8.793,3.567,5.225,1,542,0.001,0.644,678,1165,0.805,1.384,1.025,1.761,0.017,-0.147,29.813,70.821,-4.52,-16.384,-4.612,-5.813
"ML",2021-03-09,"ML",87076,0.184,66178,0.165,4320,2200,600,7120,8.177,0.128,0,0,0,0,1170,700,200,2070,2.377,6306,4589,3434,7.242,88.567,0.13,342,277,130,0.393,5.734,1322,881,882,1.518,5.423,0.141,4589,2872,1717,5.27,1.972,3.298,6.934,2.595,4.34,277,65,0.318,0.075,881,441,1.012,0.506,1.331,0.666,6.424,1.381,3.935,14.545,-29.348,-30.435,-27.23,-33.737
"FFAA",2021-03-09,"FFAA",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2021-03-09,"ES",47450795,100,40129822,100,4026555,1169800,387600,5583955,11.768,100,0,0,0,0,518310,361200,195600,1075110,2.266,4848648,3436412,2824472,10.218,86.832,100,136457,107709,57496,0.288,2.896,939914,794378,291072,1.981,6.479,100,3436412,2024176,1412236,7.242,2.976,4.266,8.563,3.519,5.044,107709,28748,0.227,0.061,794378,145536,1.674,0.307,1.98,0.363,3.236,4.374,2.078,19.645,0,0,0,0
