;ES;AN;AR;AS;IB;CN;CB;CL;CM;CT;VC;EX;GA;RI;MD;MC;NC;PV;CE;ML
82a;266750;41566;8372;7304;4802;8939;3590;18084;12841;43694;29003;6669;20829;1791;34168;7113;3413;14065;249;258
83a;277861;42389;9275;8297;4763;9293;3859;21213;12784;44276;26633;7866;23262;2144;35140;6941;3871;15307;287;261
84a;256152;38648;8852;7746;4545;8632;3610;19225;11935;40363;25077;7345;21800;1955;31764;6364;3755;14059;248;229
85a;238246;34235;8283;7660;4010;7914;3502;18428;11151;37421;23310;6535;20592;1942;29973;5966;3287;13637;218;182
86a;225005;33000;7969;7065;3861;7158;3237;17261;11082;35464;22010;6185;18967;1740;28348;5469;3186;12671;186;146
87a;204342;29342;7446;6715;3394;6447;3052;16460;9953;32216;18884;5837;17377;1729;25721;4808;2991;11696;145;129
88a;174204;24209;6443;5667;2834;5040;2641;14655;8680;28048;16262;4967;14270;1398;22245;4134;2508;9929;159;115
89a;154619;20819;5699;5183;2479;4312;2380;13215;8100;24991;14511;3924;12683;1352;19678;3792;2437;8798;128;138
90a;127286;16909;4912;4177;2168;3507;1980;11020;6652;20372;11545;3350;10673;1036;16769;2920;1927;7168;106;95
91a;106766;13708;3994;3570;1736;2872;1680;9621;5514;17003;9641;2828;9104;873;14168;2440;1663;6199;76;76
92a;83014;10018;3265;2772;1483;2083;1292;7670;4369;13731;7232;2124;7072;724;11244;1723;1266;4831;55;60
93a;67545;7988;2565;2178;1151;1637;1085;6501;3425;11364;6105;1762;5622;612;9067;1462;1076;3845;51;49
94a;51306;5935;1990;1804;826;1238;784;5010;2642;8518;4420;1374;4340;462;7058;1075;851;2917;29;33
95a;39239;4472;1612;1359;654;983;646;3944;1982;6536;3200;988;3292;398;5456;779;652;2239;21;26
96a;28606;3119;1186;965;476;676;488;3028;1457;4734;2356;673;2598;262;3916;505;479;1641;26;21
97a;20746;2279;879;716;352;494;302;2224;1032;3362;1658;466;1816;202;3030;389;388;1141;8;8
98a;13644;1434;593;453;217;330;237;1480;668;2197;1102;341;1213;143;2010;238;238;730;12;8
99a;9077;985;378;321;167;222;146;928;443;1537;675;210;873;79;1350;126;154;470;2;11
100a;17308;2597;611;562;271;721;268;1631;759;2511;1373;400;1832;133;2373;254;246;731;22;13
TOTAL;47450795;8464411;1329391;1018784;1171543;2175952;582905;2394918;2045221;7780479;5057353;1063987;2701819;319914;6779888;1511251;661197;2220504;84202;87076
